powerTypes
PowerName,PowerID,OrderID,DevNotes,MissionTags,Priority,CastSoundEvent,HitSoundEvent,ItemHitSoundEvent,TargetMethod,ParentItem,OriginPower,IsAirPower,IsSignature,IsAntiair,SigModeSwapsMove,AoERadiusX,AoERadiusY,CenterOffsetX,CenterOffsetY,CastImpulseX,CastImpulseY,FireImpulseX,FireImpulseY,FireImpulseMaxX,ImpulseMaxOnDCOnly,SpeedLimit,SpeedLimitY,SpeedLimitAttack,SpeedLimitBackward,SpeedLimitAttackBackward,SelfImpulseOnHit,EndOnHit,CancelGravity,WallCancel,AllowMove,AllowRecoverMove,AllowJumpDuringRecover,AllowLeaveGround,AllowHitOnZeroDamage,AccelMult,BackwardAccelMult,TurnOffDampening,KeepGroundFriction,IgnoreGroundRestrict,DoNotBounceOffNoSlideCeiling,NoSlideCeilingBuffer,CastAnim,Hurtbox,CastTime,FixedRecoverTime,RecoverTime,AntigravTime,GCancelTime,IgnoreForcedFallTime,ShowCloudTime,CooldownTime,IgnoreCDOverride,OnHitCooldownTime,ShakeTime,DisableShake,OnlyShakeOnce,ShakeAllCams,FixedMinChargeTime,MinCancelTime,LoseInvulnTime,BaseDamage,VariableImpulse,FixedImpulse,MinimumImpulse,PostHitDamageMultiplier,PostHitImpulseMultiplier,ImpulseOffsetX,ImpulseOffsetY,ImpulseOffsetMaxX,ImpulseToPoint,ToPointChangeX,ToPointChangeY,ToPointChangeDmg,LockTo45Degrees,DownwardForceMult,MirrorImpulseOffset,MirrorOffsetCenter,IgnoreStrength,AcceptInput,HeldDirOffsets,DIMaxAngle,ImpulseOnHeavy,ItemSpeedDamage,ItemSpeedImpulse,ItemHitElasticity,AirTimeMultOnly,IsMultihit,MinTimeBetweenHits,InheritAlreadyHit,InterruptThreshold,CanDamageEveryone,CanAssist,ConsumesWeapon,FixedStunTime,HoldHitEnts,HoldOffsetX,HoldOffsetY,UpdateHeldEnts,DestroysItemOnHit,GrabInterpolateTime,GrabAnim,GrabAnimSpeed,GrabForceUpdate,Uninterruptable,CanChangeDirection,ComboName,ComboOverrideIfHit,ComboOverrideIfRelease,ComboOverrideIfWall,ComboOverrideIfButton,OriginOverrideIfInMode,ComboOverrideIfDir,ComboOverrideIfInterrupt,IgnoreButtonOnHit,IgnoreButtonOnMiss,ComboUseSameTargetPos,UseCollisionAsTargetPos,ComboUseTargetAsSource,ComboUseSameSourcePos,BGPowerOnFire,BGCastIdx,AllowBGInterrupt,PopulateActivePowerHits,PopulateBGHits,ExhaustedVersion,GCVersion,MomentumVersion,TeamTauntPower,AnimLayer,FXLayer,IsWorldCastGfx,CustomArtCastGfx,DelayCastGfxToFirstFire,DelayCastGFXCleanUp,CastAnimSource,DoNotSendSync,IsThrow,CannotAttackAroundCorners,ForceHitThroughSoftPlat,ForceFaceRight,CollisionPowerOffSetX,CollisionPowerOffSetY,CastGfx.AnimFile,CastGfx.AnimClass,CastGfx.AnimScale,CastGfx.FireAndForget,CastGfx.MoveAnimSpeed,CastGfx.FlipAnim,CastGfx.Tint,CastGfxRotation,IsWorldFireGfx,IsAttackFireGfx,CustomArtFireGfx,FireAnimSource,FireGfx.AnimFile,FireGfx.AnimClass,FireGfx.AnimScale,FireGfx.FireAndForget,FireGfx.MoveAnimSpeed,FireGfx.FlipAnim,FireGfx.Tint,FireGfxRotation,IsWorldHitGfx,OnlyOnceHitGfx,OwnerFacingHitGfx,PlayHitGfxBehind,HitAnimSource,HitReactAnim,HitGfx.AnimFile,HitGfx.AnimClass,HitGfx.AnimScale,HitGfx.FireAndForget,HitGfx.Tint
BaseAirUpHeavy,10,10,Unarmed Air Up Heavy,"Unarmed,Aerial",,WEP_Unarmed_Punch_Heavy_Play,IMP_Unarmed_Heavy_Play,,PBAoE,Unarmed,,TRUE,,TRUE,,"17&18&17&17,17&18&17,17&18&17,62","26&56&25&58,26&56&53,26&44&40,95","23&37&35&50,23&37&50,23&37&50,7","-136&-81&-23&-42,-136&-81&-47,-136&-92&-60,-67",,,,"-82~-80,-80~-78,-78~-76,-62~-52~-49",,,,,,,,,,,,TRUE,,,TRUE,,.75,0.75,,,,,,AttackAirUp,UnarmedRecovery,"11:2@5-5,0:2@6-6,0:2@7-7,0:4@8-9",,,,,,,12,,9,,,,,,,8,"15,15,15,0","40,40,40,0","55,55,55,0",,,,100,-1000,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,BaseAirUpHeavyMiss,BaseAirUpHeavyHit,,,,,,,,,,,,,,,,,,BaseAirUpHeavyExhaust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
BaseAirUpHeavyExhaust,11,11,"Unarmed Air Up Heavy (same, just shorter jump)",,,WEP_Unarmed_Punch_Heavy_Play,IMP_Unarmed_Heavy_Play,,PBAoE,Unarmed,BaseAirUpHeavy,TRUE,,TRUE,,"17&18&17&17,17&18&17,17&18&17,62","26&56&26&58,26&56&51,26&44&40,95","23&37&35&50,23&37&50,23&37&50,7","-136&-81&-22&-42,-136&-81&-49,-136&-92&-60,-67",,,,,,,,,,,,,,,,TRUE,,,TRUE,,.75,0.75,,,,,,AttackAirUp,UnarmedRecovery,"11:2@5-5,0:2@6-6,0:2@7-7,0:4@8-9",,,,,,,12,,9,,,,,,,8,"15,15,15,0","40,40,40,0","55,55,55,0",,,,100,-1000,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,BaseAirUpHeavyMiss,BaseAirUpHeavyHit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
BaseAirUpHeavyHit,1600,10,Unarmed Air Up Heavy - recover on hit,,,,,,PBAoE,Unarmed,BaseAirUpHeavy,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,UnarmedRecovery,,,16@15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaseAirUpHeavyMiss,1601,10,Unarmed Air Up Heavy - recover on miss,,,,,,PBAoE,Unarmed,BaseAirUpHeavy,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,.75,0.75,,,,,,,UnarmedRecovery,,2,19@15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaseAirSide,12,12,Unarmed Air Side Light,"Unarmed,Aerial",,WEP_Unarmed_Punch_Light_Play,IMP_Unarmed_Punch_Play,,PBAoE,Unarmed,,TRUE,,,,"40&28,30&28,19","21&24,21&24,17","83&125,92&125,133","25&53,25&53,60",,,"45~38,34~31,28~25",!,"50~43,39~35,32~28",TRUE,,,,,,,,,,,TRUE,,,,,0.9,,,,,,AttackAirSide2,UnarmedSAir,"13:2@5,0:1@6,0:1@7",,,,,,,14,,9,,,,,,,11,13,"40~38,37~36,36",45,,,,1900,-1000,,,,,,,,,,,,,,,,,,,,,,,,,,"17~15,14~13,12~11",,,,,,,,,,,,BaseAirSideMiss,BaseAirSideHit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
BaseAirSideHit,770,12,Unarmed Air Side Light - recover on hit,,,,,,Nobody,Unarmed,BaseAirSide,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,0.9,,,,,,,UnarmedSAir,0,,14@13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaseAirSideMiss,771,12,Unarmed Air Side Light - recover on miss,,,,,,Nobody,Unarmed,BaseAirSide,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,0.9,,,,,,,UnarmedSAir,0,5,17@13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaseAirDown,13,13,Unarmed Air Down Light,"Unarmed,Aerial",,WEP_Unarmed_Kick_Light_Play,Once:IMP_Unarmed_Kick_Play,,GroundPound,Unarmed,,TRUE,,,,"90,22&17&15","90,24&23&15","80,48&27&21","80,69&40&33",,,"0,56","0,56",,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,L:AttackAirDown2,,"4,4:15@4",,0,,,,,9,,9,,,,,,,5,"0,t16","0,5","0,65",,,,"0,1000","0,1000",,,,,,,,,,,,,,,,,,,true,,,,,,,19,,,,,,,,,,,,BaseAirDownCombo,,BaseAirDownRelease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
BaseAirDownRelease,14,14,Unarmed Air Down Light -if it hits the ground,,,,,,GroundPoundRecover,Unarmed,BaseAirDown,TRUE,,,,,,,,,,15,0,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,AttackAirDown3HitGround,,3@2,,23,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
BaseAirDownCombo,15,15,Unarmed Air Down Light -if it finishes in the air,,,,,,GroundPoundRecover,Unarmed,BaseAirDown,TRUE,,,,,,,,,,15,15,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,4,,19@17,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
BaseGroundPound,16,16,Unarmed Air Down Heavy -the start and fall,"Unarmed,Aerial",,[18]WEP_Unarmed_Punch_Heavy_Play,IMP_Unarmed_Heavy_Play,,MeteorPound,Unarmed,,TRUE,,,,"1,1&24,1&24","20,20&50,20&50","0,0&-8,0&-8","40,115&85,115&85",,,0,"0,71~96,96",,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,L:AttackAirDown,,"15:1@7,0:38@8,0:313",,0,,,,,19,,11,,,,,40,,12,17,46,48,,,,200,1000,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,BaseGroundPoundCombo,BaseGroundPoundHit,BaseGroundPoundRelease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
BaseGroundPoundRelease,17,17,Unarmed Air Down Heavy -if you let go before you hit something,,,,IMP_Unarmed_Punch_Play,,MeteorPoundRelease,Unarmed,BaseGroundPound,TRUE,,,,,,,,,,0,15,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,0,1,7@15,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaseGroundPoundHit,18,18,Unarmed Air Down Heavy -if you hit someone,,,WEP_Unarmed_Punch_Heavy_Play,IMP_Unarmed_Heavy_Play,,MeteorPoundRelease,Unarmed,BaseGroundPound,TRUE,,,,,,,,,,0,-20,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,AttackAirDownHit,,3@2,5,16@9,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaseGroundPoundCombo,19,19,Unarmed Air Down Heavy -if you hit the ground,,,MVT_Land_Play,IMP_Unarmed_Punch_Play,,MeteorPoundRelease,Unarmed,BaseGroundPound,TRUE,,,,"49,80","37,80","5,0","43,0",,,0,"170~0,0",,,,,,,,,,TRUE,,,,,,,,,,,,,,AttackAirDownHitGround,,"0:1@1-1,0:6",1,16,,,,,,,,,,,,,,,"17,0","46,0","48,0",,,,200,1000,,,,,,,,,,,,,,,,,,,,,true,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
BaseSide,20,20,Unarmed Ground Side Light,Unarmed,,WEP_Unarmed_Kick_Light_Play,IMP_Unarmed_Kick_Play,,PBAoE,Unarmed,,,,,,"80,80,73","70,70,29","85,85,63","10,10,-12",,,"78~0,145~0,72~39",,"78~0,145~0,90~56",TRUE,,,,,,,,,,,,,,,,,,,,,,AttackSide,UnarmedSLight,"2:1@2,3:1@4,1:3@5-6",,,,12,,12,10,,9,,,,,,,6,"0,0,13","0,0,20~16","0,0,80~70",,,,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,BaseSideMiss,BaseSideHit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
BaseSideHit,772,20,Unarmed Ground Side Light - recover on hit,,,,,,Nobody,Unarmed,BaseSide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UnarmedSLight,0,,18@14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaseSideMiss,773,20,Unarmed Ground Side Light - recover on hit,,,,,,Nobody,Unarmed,BaseSide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UnarmedSLight,0,2,18@14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaseSmashSide,21,21,Unarmed Ground Side Heavy -the charge up,Unarmed,,,,,Smash,Unarmed,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,L:AttackSideSmash,,"0,81",,0,,,,,,,,,,,,11,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,BaseSmashSideCombo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaseSmashSideCombo,22,22,Unarmed Ground Side Heavy,,,WEP_Unarmed_Punch_Heavy_Play,IMP_Unarmed_Heavy_Play,,SmashRelease,Unarmed,BaseSmashSide,,TRUE,,,"58,100","24,80","96,120","-27,-25",,,"72~83~50,50~30",22,,,,,,,,,,,,,,,,,,,,,,,,,,"7:7@35,0:8@38",,18@48,,19,19,6,,,,,,,,,,,"18,0","55,0","45,0",,,,1000,-150,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
